Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.622.900
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:06.624.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 61 00 00 ,Success,00:00:06.625.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.626.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.722.900
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:06.724.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 64 00 00 ,Success,00:00:06.725.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.726.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.822.900
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:06.824.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 65 00 00 ,Success,00:00:06.825.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.826.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.923.000
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:06.924.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 67 00 00 ,Success,00:00:06.925.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.926.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.023.000
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.024.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 65 00 00 ,Success,00:00:07.025.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.026.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.123.000
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.124.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 62 00 00 ,Success,00:00:07.125.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.126.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.223.000
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.224.100
