Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.654.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:06.655.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 91 00 00 ,Success,00:00:06.656.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.657.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.754.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:06.755.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 92 00 00 ,Success,00:00:06.756.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.757.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.854.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:06.855.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 91 00 00 ,Success,00:00:06.856.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.857.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.954.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:06.955.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 95 00 00 ,Success,00:00:06.956.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.957.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.054.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.055.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 96 00 00 ,Success,00:00:07.056.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.057.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.154.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.155.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 93 00 00 ,Success,00:00:07.156.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.157.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.254.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.255.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F D1 09 60 0E 99 00 00 ,Success,00:00:07.256.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.257.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.354.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.355.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 98 00 00 ,Success,00:00:07.356.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.357.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.454.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.455.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 9E 00 00 ,Success,00:00:07.456.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.457.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.554.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.555.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 99 00 00 ,Success,00:00:07.556.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.557.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.654.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.655.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 9E 00 00 ,Success,00:00:07.656.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.657.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.754.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.755.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F D1 09 60 0E 98 00 00 ,Success,00:00:07.756.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.757.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.854.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.855.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 9B 00 00 ,Success,00:00:07.856.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.857.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.954.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:07.955.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 98 00 00 ,Success,00:00:07.956.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.957.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.054.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:08.056.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 99 00 00 ,Success,00:00:08.056.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.058.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.154.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:08.156.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 98 00 00 ,Success,00:00:08.157.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.158.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.254.900
