Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:28.623.800
CAN2,Receive,Extended,Data,0x0A010002,8,12 50 00 00 11 A5 00 00 ,Success,00:01:28.624.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 7B 00 00 ,Success,00:01:28.625.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:28.626.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:28.723.800
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A4 00 00 ,Success,00:01:28.724.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 75 00 00 ,Success,00:01:28.725.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:28.726.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:28.823.800
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A6 00 00 ,Success,00:01:28.824.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 72 00 00 ,Success,00:01:28.825.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:28.826.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:28.923.800
CAN2,Receive,Extended,Data,0x0A010002,8,12 50 00 00 11 A4 00 00 ,Success,00:01:28.925.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 79 00 00 ,Success,00:01:28.926.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:28.927.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.023.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A6 00 00 ,Success,00:01:29.025.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CC 09 60 0E 75 00 00 ,Success,00:01:29.026.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.027.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.123.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A4 00 00 ,Success,00:01:29.125.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 78 00 00 ,Success,00:01:29.126.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.127.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.223.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A6 00 00 ,Success,00:01:29.225.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 73 00 00 ,Success,00:01:29.226.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.227.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.323.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A3 00 00 ,Success,00:01:29.325.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 78 00 00 ,Success,00:01:29.326.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.327.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.423.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A1 00 00 ,Success,00:01:29.425.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CC 09 60 0E 7B 00 00 ,Success,00:01:29.426.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.427.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.524.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 50 00 00 11 A3 00 00 ,Success,00:01:29.525.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 79 00 00 ,Success,00:01:29.526.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.527.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.624.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 50 00 00 11 A5 00 00 ,Success,00:01:29.625.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 79 00 00 ,Success,00:01:29.626.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.627.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.724.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 51 00 00 11 A6 00 00 ,Success,00:01:29.725.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 7B 00 00 ,Success,00:01:29.726.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.727.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.824.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A3 00 00 ,Success,00:01:29.825.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 78 00 00 ,Success,00:01:29.826.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.827.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:29.924.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A4 00 00 ,Success,00:01:29.925.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 76 00 00 ,Success,00:01:29.926.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:29.927.200
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:30.024.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A5 00 00 ,Success,00:01:30.025.200
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 79 00 00 ,Success,00:01:30.026.200
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:30.027.200
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:30.124.100
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A4 00 00 ,Success,00:01:30.125.200
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 82 00 00 ,Success,00:01:30.126.200
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:01:30.127.200
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:01:30.224.100
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A5 00 00 ,Success,00:01:30.225.200
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 7B 00 00 ,Success,00:01:30.226.200
