Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.571.100
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B6 00 00 ,Success,00:00:06.572.200
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 8B 00 00 ,Success,00:00:06.573.200
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.574.200
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.671.100
CAN2,Receive,Extended,Data,0x0A010002,8,12 60 00 00 11 B8 00 00 ,Success,00:00:06.672.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 8A 00 00 ,Success,00:00:06.673.200
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.674.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.771.200
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B4 00 00 ,Success,00:00:06.772.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 88 00 00 ,Success,00:00:06.773.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.774.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.871.200
CAN2,Receive,Extended,Data,0x0A010002,8,12 60 00 00 11 B7 00 00 ,Success,00:00:06.872.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 8A 00 00 ,Success,00:00:06.873.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.874.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:06.971.200
CAN2,Receive,Extended,Data,0x0A010002,8,12 60 00 00 11 B8 00 00 ,Success,00:00:06.972.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 8E 00 00 ,Success,00:00:06.973.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:06.974.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.071.200
CAN2,Receive,Extended,Data,0x0A010002,8,12 61 00 00 11 B9 00 00 ,Success,00:00:07.072.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 8E 00 00 ,Success,00:00:07.073.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.074.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.171.200
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B8 00 00 ,Success,00:00:07.172.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 8A 00 00 ,Success,00:00:07.173.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.174.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.271.300
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 BB 00 00 ,Success,00:00:07.272.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 8A 00 00 ,Success,00:00:07.273.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.274.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.371.300
CAN2,Receive,Extended,Data,0x0A010002,8,12 60 00 00 11 B8 00 00 ,Success,00:00:07.372.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 88 00 00 ,Success,00:00:07.373.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.374.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.471.300
CAN2,Receive,Extended,Data,0x0A010002,8,12 63 00 00 11 B8 00 00 ,Success,00:00:07.472.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 88 00 00 ,Success,00:00:07.473.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.474.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.571.300
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B8 00 00 ,Success,00:00:07.572.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 85 00 00 ,Success,00:00:07.573.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.574.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.671.300
CAN2,Receive,Extended,Data,0x0A010002,8,12 61 00 00 11 B8 00 00 ,Success,00:00:07.672.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 85 00 00 ,Success,00:00:07.673.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.674.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.771.300
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B7 00 00 ,Success,00:00:07.772.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 87 00 00 ,Success,00:00:07.773.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.774.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.871.400
CAN2,Receive,Extended,Data,0x0A010002,8,12 61 00 00 11 B7 00 00 ,Success,00:00:07.872.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 82 00 00 ,Success,00:00:07.873.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.874.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:07.971.400
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B9 00 00 ,Success,00:00:07.972.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 87 00 00 ,Success,00:00:07.973.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:07.974.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.071.400
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 BA 00 00 ,Success,00:00:08.072.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 8B 00 00 ,Success,00:00:08.073.500
